chave,name
Orthogon,Orthogon
Revolut,Revolut Bank
Volkswagen,Volkswagen Bank GMBH
Raize,Raize
SFS,SFS - Financial Services
Everyday,Everyday Finance S.A
Link,Link Financial
CABOT,CABOT
Heavy,Heavy Finance
FCA,FCA BANK
Domus,Domus Venda
Lisgarante,"Lisgarante - Sociedade de garantia mutua, SA"
CA AUTO,CA AUTO BANK
GARVAL,GARVAL
Algebra,Algebra Capital
Banco do Brasil,Banco do Brasil
Carregosa,Banco Carregosa
Atlantico,Banco Atlantico Europa
Zolva,Zolva
Parvalorem,"Parvalorem, S.A."
Barclays,Barclays
Itaú,Itaú
Suisse,Credit Suisse
Oney,Oney
Caixabank Consumer,Caixabank Consumer Finance
Abanca,Abanca
Novo Banco,Novo Banco
Banco Invest,Banco Invest
Banco Comercial Português,Banco Comercial Português
Cixa,Cixa BI
Caixa Geral de Depositos,Caixa Geral de Depositos
Deutsche,Deutsche Bank
Haitong,Haitong
Finantia,Banco Finantia
BiG,BiG
Best Bank,Best Bank
Santander Consumer,Banco Santander Consumer
El Corte Inglés,Financieira El Corte Inglés Portugal
Citibank,Citibank
BBVA,BBVA
Sabadell,Sabadell
Caixa Bank,Caixa Bank
ING,ING Bank
Montepio,Montepio
Credibom,Credibom
Caixa Central Agrícola,Caixa Central Agrícola
Unicre,Unicre
BPI,Banco BPI
Intrum,Intrum
CEM,CEM
Banco BNI Europa,Banco BNI Europa
Ares Lusitani,Ares Lusitani
CTT,CTT
ActivoBank,ActivoBank
Whitestar,Whitestar
Primus,Banco Primus
Hefesto,Hefesto
321,321 Credito
RCI,RCI Banque
Rothschild,Edmond de Rothschild
BIC,"BANCO BIC PORTUGUÊS, SA"
Cetelem,Cetelem
Millennium,Millennium bcp
Unibanco,Unibanco
Universo,Universo
ZARCO,"ZARCO, STC"
CAIXA ECONÓMICA,"CAIXA ECONÓMICA DA MISERICÓRDIA DE ANGRA DO HEROÍSMO, CAIXA ECONÓMICA BANCARIA, SA"
UNION,"UNION DE CRÉDITOS INMOBILIÁRIOS, S.A.,"
Scalabis,"Scalabis – STC, S.A."
LC ASSET,LC ASSET 2 S.À R.L
"COMERCIAL PORTUGUÊS, SA","BANCO COMERCIAL PORTUGUÊS, SA"
Servdebt,Servdebt
Wizink,Wizink Bank
Cofidis,Cofidis
BNP,BNP Paribas
Bankinter,Bankinter
Bicredit,Bicredit sociedade financiera de credito
Eos,Eos Portugal
Younited,Younited Credit
Atticus,Atticus
Totta,Santander Totta
Bankinter Consumer,Bankinter Consumer Finance
Duo Capital,Duo Capital
